penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
00-0033904,D.Dawkins,Unsportsmanlike Conduct,11.0,3.0,10.0,78.0,4.0,900.0,-0.9315902339294553,-0.026843905448913574,BUF,2024_06_BUF_NYJ
00-0036260,J.Kinlaw,Unsportsmanlike Conduct,15.0,4.0,3.0,3.0,4.0,226.0,0.037107202367287595,0.01704084873199463,BUF,2024_06_BUF_NYJ
00-0036442,J.Burrow,Intentional Grounding,14.0,1.0,10.0,70.0,2.0,755.0,-1.9619072421919554,-0.04526352882385254,CIN,2024_06_CIN_NYG
00-0031544,A.Cooper,Face Mask,15.0,1.0,10.0,21.0,4.0,403.0,-1.4803451237385161,-0.09069809317588806,CLE,2024_06_CLE_PHI
00-0039139,J.Gibbs,Offensive Pass Interference,10.0,3.0,8.0,10.0,4.0,900.0,-0.9467707140138373,0.00021499395370483398,DET,2024_06_DET_DAL
00-0036963,A.St. Brown,Unsportsmanlike Conduct,15.0,1.0,4.0,4.0,4.0,802.0,1.0624165130429901,0.00006568947719642892,DET,2024_06_DET_DAL
00-0037561,M.Bell,Face Mask,15.0,2.0,5.0,56.0,4.0,400.0,1.3858111127046868,2.384185791015625e-7,DET,2024_06_DET_DAL
00-0031588,S.Diggs,Taunting,15.0,2.0,10.0,10.0,3.0,811.0,2.401616180781275,0.034645758978313346,HOU,2024_06_HOU_NE
00-0032383,R.Kelly,Face Mask,15.0,1.0,10.0,16.0,2.0,120.0,-1.1510359068051912,-0.03628730773925781,IND,2024_06_IND_TEN
00-0036988,J.Palmer,Offensive Pass Interference,10.0,2.0,5.0,5.0,1.0,658.0,-1.3116340596461669,-0.017800092697143555,LAC,2024_06_LAC_DEN
00-0036945,J.Fields,Illegal Forward Pass,5.0,3.0,15.0,15.0,3.0,571.0,-0.7514403131017211,-0.02540600299835205,PIT,2024_06_PIT_LV
00-0035678,D.Jones,Face Mask,13.0,1.0,10.0,29.0,2.0,267.0,1.1047271496499889,0.009799361228942871,SF,2024_06_SF_SEA
00-0031933,L.Williams,Face Mask,15.0,1.0,10.0,77.0,4.0,664.0,0.9291839455254376,0.027392327785491943,SF,2024_06_SF_SEA
00-0035402,C.Granderson,Unnecessary Roughness,15.0,2.0,6.0,56.0,1.0,389.0,2.1674985316349193,0.016710638999938965,TB,2024_06_TB_NO
00-0032385,S.Shepard,Unnecessary Roughness,7.0,3.0,20.0,86.0,2.0,807.0,-1.5850473074242473,-0.023579895496368408,TB,2024_06_TB_NO
00-0032385,S.Shepard,Unsportsmanlike Conduct,15.0,1.0,10.0,75.0,2.0,779.0,-1.622267789207399,-0.03987729549407959,TB,2024_06_TB_NO
00-0038121,A.Taylor,Taunting,15.0,2.0,17.0,82.0,2.0,753.0,-3.8900172476423904,-0.08471086621284485,TB,2024_06_TB_NO
00-0033011,C.McGovern,Face Mask,15.0,3.0,6.0,35.0,3.0,749.0,-2.833490613149479,-0.07222223281860352,NO,2024_06_TB_NO
00-0035693,J.Abram,Unnecessary Roughness,5.0,1.0,10.0,27.0,4.0,851.0,1.7667018957436085,0.04697108268737793,TB,2024_06_TB_NO
00-0032385,S.Shepard,Offensive Pass Interference,10.0,2.0,3.0,3.0,4.0,791.0,-1.5396085323300213,-0.03477358818054199,TB,2024_06_TB_NO
00-0037838,I.Likely,Offensive Pass Interference,10.0,2.0,28.0,28.0,2.0,26.0,-0.5912669153185561,-0.010453402996063232,BAL,2024_07_BAL_TB
00-0034855,B.Mayfield,Face Mask,15.0,3.0,6.0,66.0,3.0,132.0,-1.5235591395758092,-0.0014053897466510534,TB,2024_07_BAL_TB
00-0037332,Da.Bell,Lowering the Head to Make Forcible Contact,15.0,4.0,8.0,75.0,3.0,217.0,-1.097301597474143,-0.012785255908966064,CLE,2024_07_CIN_CLE
00-0038583,D.Thompson-Robinson,Intentional Grounding,10.0,3.0,5.0,44.0,4.0,528.0,-2.314730875659734,-0.01793866977095604,CLE,2024_07_CIN_CLE
00-0037083,K.Enagbare,Unsportsmanlike Conduct,15.0,4.0,4.0,5.0,1.0,711.0,0.05011696251288544,-0.0021375715732574463,HOU,2024_07_HOU_GB
00-0031740,N.Hewitt,Unnecessary Roughness,15.0,2.0,14.0,41.0,2.0,900.0,2.305575973703526,0.08615288138389587,GB,2024_07_HOU_GB
00-0038043,J.Williams,Face Mask,15.0,3.0,4.0,44.0,4.0,120.0,1.7376864388934337,0.0005487211747094989,SF,2024_07_KC_SF
00-0039369,C.Hart,Unnecessary Roughness,15.0,2.0,10.0,70.0,4.0,111.0,1.0819350678939372,0.0912732183933258,ARI,2024_07_LAC_ARI
00-0038579,A.O'Connell,Intentional Grounding,11.0,2.0,10.0,69.0,1.0,315.0,-1.988127984572202,-0.04515567421913147,LV,2024_07_LV_LA
00-0037010,L.Eichenberg,Face Mask,15.0,1.0,10.0,62.0,2.0,450.0,-1.3768932139500976,-0.03563499450683594,MIA,2024_07_MIA_IND
00-0033905,L.Ogunjobi,Unnecessary Roughness,15.0,1.0,10.0,82.0,1.0,488.0,1.0715578994713724,0.028277039527893066,NYJ,2024_07_NYJ_PIT
00-0039847,T.Johnson,Offensive Pass Interference,10.0,3.0,4.0,10.0,2.0,14.0,-0.7223074820563551,-0.029761239886283875,NYG,2024_07_PHI_NYG
00-0030565,G.Smith,Intentional Grounding,10.0,2.0,5.0,21.0,2.0,17.0,-1.0754870431264862,-0.05846607685089111,SEA,2024_07_SEA_ATL
00-0037238,D.London,Offensive Pass Interference,10.0,1.0,10.0,47.0,4.0,722.0,-0.7422379152849317,-0.006948594003915787,ATL,2024_07_SEA_ATL
00-0034376,Ta.Johnson,Unnecessary Roughness,10.0,3.0,3.0,21.0,2.0,778.0,1.2137633194797672,0.02631676197052002,TEN,2024_07_TEN_BUF
